ID,Author,;,"""",!,-,?
1100,"Shakespeare, William",0.023664166521309375,0.0007216048491845863,0.02443715352415432,0.003949339507013482,0.02128675066819397
1101,"Shakespeare, William",0.028897028897028894,0.0007216048491845863,0.02907568729494286,0.007172363702392302,0.028541428025964113
11019,"Davis, Richard Harding",0.01604744461887319,0.06296002309135516,0.007580042991288606,0.031594716056107856,0.02128675066819397
1102,"Shakespeare, William",0.029304029304029307,0.0007216048491845863,0.025002828374250483,0.0054019701302828104,0.02739595265368461
11021,"Richardson, James D. (James Daniel)",0.008721437292865864,0.031101168999855683,0.0010182147301730964,0.0224703799536974,0.0074455899198167235
1103,"Shakespeare, William",0.03069945927088784,0.0007937653341030451,0.0371082701663084,0.01566117390712243,0.03445971744940817
11034,"Richardson, James D. (James Daniel)",0.03511832083260655,0.012736325588107951,0.0010182147301730964,0.03418221435380635,0.004104620084001528
1104,"Shakespeare, William",0.019943019943019943,0.0007576850916438157,0.013010521552211787,0.0039039448000363157,0.02128675066819397
11049,"Balzac, Honoré de",0.0191871620443049,0.002489536729686823,0.05125014141871252,0.1395433292478097,0.03760977472317679
1105,"Shakespeare, William",0.002093144950287808,0.0007216048491845863,0.0040728589206923856,0.0022697353488583235,0.008877434135166094
11050,"Crawford, F. Marion (Francis Marion)",0.02157102157102157,0.1459445807475826,0.04548025794773164,0.11394071451268785,0.05631920580374189
11051,"London, Jack",0.00837257980115123,0.050007216048491836,0.02194818418373119,0.034409187888692176,0.019473081328751432
11052,"Wharton, Edith",0.06430606430606431,0.17625198441333526,0.06075347890032809,0.1700485723364656,0.09641084383352423
11058,"Henty, G. A. (George Alfred)",0.01558230129658701,0.08100014432096983,0.010860957121846362,0.028507875981660536,0.017563955708285606
1106,"Shakespeare, William",0.02348973777545206,0.0007216048491845863,0.02443715352415432,0.0064460483907576365,0.02128675066819397
1107,"Shakespeare, William",0.029245886388743533,0.0011545677586953385,0.026699852924538973,0.008897362567524627,0.031596029018709434
1108,"Shakespeare, William",0.02494331065759637,0.0009380863039399623,0.017762190293019568,0.004357891869807981,0.024245895379916
1109,"Shakespeare, William",0.032560032560032565,0.0016596911531245489,0.028283742504808237,0.012029597348949114,0.028732340588010687
11097,"Fenn, George Manville",0.007035292749578464,0.03579160051955549,0.008145717841384773,0.009033546688456129,0.013172966781214204
1110,"Shakespeare, William",0.023954881097738242,0.0007216048491845863,0.02545536825432741,0.008398020790775795,0.0198549064528446
11104,"Wharton, Edith",0.012675155532298388,0.013638331649588685,0.0011313497001923295,0.05547233192609742,0.002577319587628866
1111,"Shakespeare, William",0.02726902726902727,0.001010246788858421,0.01730965041294264,0.007172363702392302,0.02243222604047346
11111,"Alger, Horatio, Jr.",0.007093435664864236,0.1786332804156444,0.010860957121846362,0.01652367333968859,0.053169148529973266
1112,"Shakespeare, William",0.02285016570730856,0.0008659258190215037,0.055436135309424144,0.012528939125697944,0.035414280259641086
11125,"Richardson, James D. (James Daniel)",0.019129019129019133,0.011906480011545676,0.0,0.020518407553679244,0.004963726613211149
1113,"Shakespeare, William",0.02697831269259841,0.0007216048491845863,0.01968548478334653,0.0063552589768033066,0.01718213058419244
1114,"Shakespeare, William",0.030059887202744343,0.0012988887285322556,0.020703699513519632,0.007172363702392302,0.019473081328751432
11140,"Abbott, Jacob",0.01819873248444677,0.06101168999855679,0.005769883470980879,0.013573017386172772,0.01565483008781978
11144,"Davis, Richard Harding",0.013779870922728064,0.07703131765045461,0.026699852924538973,0.03263879431658269,0.01861397479954181
1115,"Shakespeare, William",0.02005930577359149,0.0007216048491845863,0.03246973639551985,0.012074992055926279,0.03150057273768614
11151,"Ellis, Edward Sylvester",0.009419152276295131,0.03936354452301919,0.01719651544292341,0.028462481274683368,0.018041237113402064
1116,"Shakespeare, William",0.043316471887900464,0.0007216048491845863,0.030998981785269827,0.011030913795451451,0.0319778541428026
1117,"Shakespeare, William",0.03453689167974882,0.0007216048491845863,0.03303541124561602,0.012801307367560943,0.02959144711722032
1118,"Shakespeare, William",0.015640444211872783,0.0008298455765622744,0.02115623939359656,0.01107630850242862,0.029018709431080567
11181,"Jacobs, W. W. (William Wymark)",0.0020350020350020353,0.011401356617116463,0.0010182147301730964,0.004721049525625312,0.002386407025582284
11182,"Jacobs, W. W. (William Wymark)",0.0019768591197162626,0.018184442199451582,0.001697024550288494,0.006264469562848972,0.00429553264604811
11183,"Jacobs, W. W. (William Wymark)",0.0015117157974300832,0.01187039976908645,0.00045253988007693164,0.00372236597212765,0.002577319587628866
11184,"Jacobs, W. W. (William Wymark)",0.0013954299668585382,0.012411603405974888,0.002262699400384659,0.0046302601116709795,0.004104620084001528
11185,"Jacobs, W. W. (William Wymark)",0.0015117157974300832,0.010535430798094962,0.0013576196402307953,0.003676971265150483,0.002290950744558992
11186,"Jacobs, W. W. (William Wymark)",0.0005232862375719519,0.004834752489536729,0.0014707546102500286,0.0018611829860638246,0.0010500190912562048
11187,"Jacobs, W. W. (William Wymark)",0.0015698587127158554,0.008623177947755809,0.00011313497001923294,0.0029960506604929872,0.001145475372279496
11188,"Jacobs, W. W. (William Wymark)",0.0013372870515727655,0.01154567758695338,0.0012444846702115626,0.0058559172000544725,0.0028636884306987398
11189,"Jacobs, W. W. (William Wymark)",0.001221001221001221,0.01172607879924953,0.00045253988007693164,0.004675654818648146,0.004200076365024819
1119,"Shakespeare, William",0.03773475202046631,0.0028503391542791163,0.023192668853942756,0.011848018521040449,0.02004581901489118
11190,"Jacobs, W. W. (William Wymark)",0.002093144950287808,0.010787992495309569,0.00011313497001923294,0.0029052612465386533,0.002290950744558992
11191,"Jacobs, W. W. (William Wymark)",0.015175300889586603,0.10470486361668348,0.01040841724176943,0.02710064006536838,0.02720504009163803
11192,"Van Dyke, Henry",0.0020350020350020353,0.003463703276086015,0.00045253988007693164,0.003586181851196151,0.0019091256204658265
1120,"Shakespeare, William",0.01552415838130124,0.004149227882811372,0.025002828374250483,0.0019519724000181579,0.027682321496754488
11202,"Richardson, James D. (James Daniel)",0.02162916448630734,0.012736325588107951,0.0,0.02514866766535022,0.005918289423444063
11205,"Verne, Jules",0.05285190999476713,0.07941261365276374,0.025907908134404342,0.007353942530300967,0.03102329133256968
1121,"Shakespeare, William",0.034071748357462635,0.0015875306682060905,0.01380246634234642,0.008171047255889964,0.027586865215731195
1122,"Shakespeare, William",0.025989883132740275,0.0007576850916438157,0.04367009842742391,0.012438149711743613,0.043241695303550966
11243,"Cooper, James Fenimore",0.10622710622710622,0.12812094097272336,0.05226835614888562,0.13922556629896954,0.03178694158075601
11247,"Doyle, Arthur Conan",0.005581719867434153,0.0018040121229614661,0.025568503224346645,0.037132870307322166,0.026345933562428408
11263,"Verne, Jules",0.015117157974300832,0.08204647135228749,0.06086661387034732,0.06559535158200555,0.04352806414662085
11289,"Wells, H. G. (Herbert George)",0.02064073492644921,0.01529802280271323,0.0009050797601538637,0.03554405556312134,0.0074455899198167235
113,"Burnett, Frances Hodgson",0.0044770044770044756,0.16528359070572954,0.06086661387034732,0.059603250261019564,0.04219167621229477
11311,"Altsheler, Joseph A. (Joseph Alexander)",0.001221001221001221,0.1141939673834608,0.0192329449032696,0.0065822325116891385,0.02415043909889271
11314,"Richardson, James D. (James Daniel)",0.026513169370312225,0.005267715399047481,0.00022626994003846588,0.02115393345135957,0.002672775868652157
11318,"Verne, Jules",0.01552415838130124,0.08919035935921489,0.030659576875212126,0.032911162558445686,0.033505154639175264
11337,"Ellis, Edward Sylvester",0.024361881504738645,0.08558233511329195,0.011313497001923294,0.01665985746062009,0.0286368843069874
11339,"Chesterton, G. K. (Gilbert Keith)",0.013082155939298795,0.04250252561697214,0.012444846702115623,0.009850651414045123,0.01011836578846888
11360,"Bennett, Arnold",0.024303738589452874,0.002236975032472218,0.05362597578911641,0.05206772890280993,0.046964490263459335
1138,"Wells, H. G. (Herbert George)",0.01802430373858945,0.11956992350988598,0.042878153637289286,0.07308547823323801,0.05278732340588011
1139,"Van Dyke, Henry",0.0158148729577301,0.019086448260932316,0.011426631971942528,0.04189931453992465,0.01002290950744559
11393,"Verne, Jules",0.05256119541833827,0.09175205657382016,0.03971037447675077,0.0070361795814608006,0.042478045055364635
1140,"Carlyle, Thomas",0.088144659573231,0.02738490402655505,0.061432288720443484,0.10195651187071587,0.031691485299732716
11409,"Cooper, James Fenimore",0.09291237862666434,0.23470197719728675,0.10894897612852132,0.10822098143356486,0.0726422298587247
