ID,Author,/,_,*,e_E,t_T,n_N,a_A,i_I,h_H,s_S
4427,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.015300463470349782,0.015007749068955146,0.01536154522348224,0.015813167681387852,0.015300178268132115,0.015531414109195224,0.016623569356688326
4428,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.01546881808458664,0.015251401386350843,0.015327735504580225,0.015974561575204403,0.01473870383627406,0.015466786748472397,0.015915274436174756
4429,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.012490151805245622,0.011655216549852344,0.012205308523629015,0.012123428555730684,0.012057663424151823,0.012093655469455235,0.013592516807950893
4430,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.014110977601133806,0.013260546058769557,0.013704868997283293,0.013620614464326795,0.012683306362507949,0.01378647536967893,0.01447844759741866
4431,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.015749409108314738,0.015516643149591731,0.01614314637221716,0.016199482852757262,0.014598335228309544,0.016254823598576534,0.017109257302183347
4432,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.012344904687080488,0.011934337242565136,0.0122152525586002,0.012200691590004566,0.012188005702976016,0.012431385548071293,0.013203516740494232
4433,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.015055083869207172,0.014560539119304819,0.014404929059254515,0.01454262000666179,0.014441924493720512,0.014960191630548313,0.01601196231421312
4434,"Meredith, George",0.1348314606741573,0.0,0.007662835249042149,0.10368333487383306,0.10099234345724134,0.1028690529698855,0.10285426818170892,0.10049991277093648,0.10225299318494058,0.10974748723944863
4435,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03448275862068965,0.01366533303403624,0.013988418804407331,0.013704868997283293,0.014008646592013405,0.015282130875679537,0.013465423319636505,0.01466957479819216
4436,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03448275862068965,0.013072240634861948,0.013424009005883123,0.01325340980959162,0.014013797460965,0.014550208848435997,0.012812895451693134,0.014107435972387741
4437,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03448275862068965,0.012163345789374072,0.012614404786688566,0.012101890559928722,0.013038566272796887,0.01380826049205213,0.012160367583749764,0.013181031187462054
4438,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03448275862068965,0.01395142584254332,0.013647613980708288,0.013390637492193934,0.014583826958274525,0.014552214114264059,0.013963679423273772,0.014829222224720615
4439,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03448275862068965,0.01174410978921562,0.01159507452214075,0.0114674611287673,0.01241531112965424,0.01226420580444247,0.011868502083711195,0.012443505048006656
4440,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03448275862068965,0.012801552823736021,0.012552720655702312,0.01218740926068089,0.013383674492553559,0.013621770770042129,0.012300046073053936,0.013255233512468238
4441,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03448275862068965,0.016455838273936062,0.01640181042924445,0.015733452131404455,0.01796623090315336,0.01741573371674016,0.016286094902152094,0.017941222764373887
4442,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.03448275862068965,0.01817899726671332,0.01743193541671486,0.01800268091182823,0.019023875994546947,0.018871556707914985,0.018675222495324943,0.020095338744856427
4443,"Meredith, George",0.1348314606741573,0.0,0.007662835249042149,0.11571243711459996,0.11591681894936505,0.11406006992645393,0.12123085164467245,0.12544943020371496,0.11361073064358428,0.12381220066107525
4444,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.040613026819923376,0.01457642859343571,0.014116413376203804,0.014508347022954813,0.015114366460288518,0.014869046115098247,0.0144390032376223,0.014887684662604275
4445,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.040613026819923376,0.015955175859048674,0.01536089071885144,0.01583687009510475,0.016518836727755972,0.016405079739395652,0.014814258880529028,0.016032199311942073
4446,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.040613026819923376,0.015345578105537437,0.014679281071453356,0.014860365860934662,0.014891162139052855,0.01571526829454146,0.013953255655415251,0.015524025813414881
4447,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.040613026819923376,0.015193728845637525,0.014333849937930344,0.014824567335038404,0.014645637385693631,0.015659120851355658,0.014190917562589516,0.015766869786162388
4448,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.040613026819923376,0.01699831425314372,0.016352463124455447,0.016811385522280606,0.016321386751278276,0.0175320391347679,0.016000483662828642,0.01736784116205338
4449,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.040613026819923376,0.015815430525662526,0.015714032368747737,0.015980064198689775,0.015598548141738175,0.01664571163876339,0.014866377719821631,0.015771366896768824
44673,"Burnand, F. C. (Francis Cowley)",0.0898876404494382,0.04504676464974231,0.1992337164750958,0.005465472999441018,0.005543861272389414,0.005771517897274143,0.005743218881025228,0.00589347626868156,0.004836628286353411,0.006120567535358532
44707,"Burnand, F. C. (Francis Cowley)",0.0898876404494382,0.018324107654132463,0.1724137931034483,0.004336506762793849,0.004248494521678118,0.004596132963680407,0.00440055904097688,0.004576016619643183,0.0037046070969181093,0.005095226317091268
44735,"Burnand, F. C. (Francis Cowley)",0.17415730337078653,0.02471845772093911,0.24521072796934865,0.004735936337747965,0.005092025012915115,0.0048507002589426714,0.005121680694199778,0.005001132975192857,0.004002726857671789,0.005030018213297956
44850,"Burnand, F. C. (Francis Cowley)",0.0898876404494382,0.055926703569383465,0.20689655172413796,0.00534993551908239,0.005573161234607882,0.005514961795017641,0.00563676758935899,0.005925560521930591,0.0044863896863071295,0.005812515458817709
44870,"Burnand, F. C. (Francis Cowley)",0.0898876404494382,0.027295285359801486,0.1302681992337165,0.005838494007456018,0.006368886524330536,0.006330372662654581,0.006249720994598454,0.006579277181879617,0.005307782593558529,0.006756908686169136
44976,"Burnand, F. C. (Francis Cowley)",0.1797752808988764,0.03111280778774575,0.1724137931034483,0.0057207558131857975,0.006188460441195747,0.005753618634326014,0.005889160167987005,0.005985718496772525,0.005211883929260142,0.006484833494479796
45088,"Burnand, F. C. (Francis Cowley)",0.0898876404494382,0.057262836419163965,0.1478927203065134,0.00483716917768124,0.0051228670784082405,0.004958095836631439,0.005090775480490225,0.0051314752540170495,0.004279999082708429,0.0052953477390776426
45089,"Burnand, F. C. (Francis Cowley)",0.0898876404494382,0.052872685627028064,0.1409961685823755,0.005160674122685399,0.005238524824007464,0.005330002744553654,0.005346601971752634,0.005414217735774144,0.004307100879140582,0.005497717716367235
45090,"Burnand, F. C. (Francis Cowley)",0.0898876404494382,0.07215117388814657,0.11877394636015325,0.004411331035788009,0.004615515101046318,0.004808935312063707,0.004541349458987064,0.004898864417961568,0.003667081532627436,0.005144694533762057
45105,"Burnand, F. C. (Francis Cowley)",0.14044943820224715,0.06547050963924413,0.11647509578544064,0.005982640768665354,0.006293323463872375,0.005922667228836111,0.006100345795002283,0.006071944927379299,0.005249409493550816,0.006525307489937715
45134,"Burnand, F. C. (Francis Cowley)",0.1797752808988764,0.03493033021569002,0.19003831417624525,0.005310322668673718,0.0056996137031297,0.005658155898602664,0.005842802347422678,0.005582660065331561,0.004601051132750854,0.006235243855822633
45359,"Burnand, F. C. (Francis Cowley)",0.09550561797752807,0.030731055544951324,0.1417624521072797,0.00420886535592146,0.004595467758475786,0.004502659034951295,0.004120695161273707,0.0045258849739415715,0.0038276075576486493,0.004643266701144514
45360,"Burnand, F. C. (Francis Cowley)",0.0898876404494382,0.052300057262836416,0.21302681992337166,0.006624148873894691,0.00691324898028421,0.0066008504138707355,0.006927918739891419,0.006801861688794776,0.005620495629314139,0.007292064848334944
45363,"Lang, Andrew",0.0898876404494382,0.21034548577972892,0.011494252873563218,0.041417435816178766,0.044909131564540884,0.04319688791481542,0.04627025579215214,0.04583436103207022,0.034381755904543315,0.04583904841139568
45399,"Burnand, F. C. (Francis Cowley)",0.17415730337078653,0.052490933384233635,0.15708812260536398,0.005410455151651196,0.005594750680453071,0.005674066354556556,0.005598994550380649,0.005741076065748658,0.004713627825622873,0.006059856542171654
