ID,Author,/,w_W,h_H,e_E,u_U
24092,"Morley, John",0.0117124394184168,0.013121832805700671,0.01356281457960342,0.01495621165242016,0.012598229731511866
24097,"Ellis, Edward Sylvester",0.02019386106623586,0.03726242546955578,0.0406377731986623,0.03488594053175311,0.028578742814587263
24103,"Trollope, Anthony",0.0117124394184168,0.08687481122682984,0.09686518258284632,0.07776391001101264,0.07167958295515373
24124,"Optic, Oliver",0.01211631663974152,0.10675332520443437,0.1063321285004898,0.10558917614977187,0.08330812135880906
24131,"Wharton, Edith",0.01050080775444265,0.008591276721890976,0.009188257946829714,0.010200849546384184,0.01011581993219918
24132,"Wharton, Edith",0.01009693053311793,0.012886915082836462,0.014187751241428232,0.013819287849389059,0.012156050486009295
24133,"Wharton, Edith",0.01009693053311793,0.014106249930084013,0.012836536837482686,0.012806125124547695,0.010930360647598657
24181,"Chambers, Robert W. (Robert William)",0.0117124394184168,0.09085722595728972,0.10838850792149443,0.10209869421574284,0.07649700947194489
24182,"Abbott, Jacob",0.0117124394184168,0.047028290805767786,0.04730094922811877,0.048430436834653104,0.033721985617538225
24244,"Henty, G. A. (George Alfred)",0.012520193861066236,0.1413309766983992,0.14836334155322095,0.14377261523939378,0.13515945604195273
24268,"Reid, Mayne",0.01009693053311793,0.12997662009329589,0.10727797858325168,0.1078420473019036,0.09720961623496008
24270,"Becke, Louis",0.01009693053311793,0.06840580358641056,0.06583792183224674,0.06447322880067125,0.05811166189578534
24283,"Optic, Oliver",0.0117124394184168,0.06659358115288669,0.06575347093200014,0.06225391997482825,0.054069988441279374
24285,"Van Dyke, Henry",0.02019386106623586,0.0698153099235958,0.06653886430429347,0.06438093240337721,0.056249854546300826
24286,"Wiggin, Kate Douglas Smith",0.0117124394184168,0.013614041367892342,0.014470661757254331,0.01383606901253343,0.012256898384106372
24306,"Chambers, Robert W. (Robert William)",0.01090468497576737,0.07373060530466591,0.08117420531702868,0.07300225496879753,0.06222315312589696
2431,"Twain, Mark",0.011308562197092085,0.023704316892821587,0.023895382224774518,0.025159158844197387,0.019339523842770368
2432,"Trollope, Anthony",0.006462035541195477,0.22397726891367334,0.2562282538931865,0.21657769154124493,0.18846144895156972
2433,"MacDonald, George",0.01009693053311793,0.21529649972592926,0.21813667533695907,0.19279039278409985,0.1686642308020511
24348,"Wharton, Edith",0.01009693053311793,0.005705144698130726,0.006570280039185217,0.005521002674497877,0.005189787986688078
24349,"Wharton, Edith",0.01009693053311793,0.015649994966048797,0.01597388778164375,0.014780009439404268,0.0119931423429294
24350,"Wharton, Edith",0.01009693053311793,0.01102994641638607,0.011172854102624731,0.01016938486548849,0.00830055776645178
24351,"Wharton, Edith",0.01009693053311793,0.010258073898403677,0.011485322433537141,0.010286853007499082,0.009130613543096959
24389,"Chambers, Robert W. (Robert William)",0.02019386106623586,0.016377121251104673,0.01730398946052765,0.015661020504483716,0.013459315630648451
2441,"Burgess, Thornton W. (Thornton Waldo)",0.0044426494345718905,0.07840658664548678,0.0899106509475391,0.08316324925271383,0.0757988317158882
24415,"Optic, Oliver",0.0117124394184168,0.02701553812938373,0.02575752457521197,0.02178824269757197,0.017997471045016953
24428,"Ruskin, John",0.014135702746365103,0.04738626066917992,0.06313549302435564,0.06774975090460958,0.055675797280209764
24446,"Becke, Louis",0.01009693053311793,0.011410289396261451,0.011189744282674052,0.010584718653311658,0.008719464420085797
24459,"Baum, L. Frank (Lyman Frank)",0.02019386106623586,0.05736467061179287,0.05534912002161943,0.051954481094970896,0.04680893977828978
24488,"Abbott, Jacob",0.0117124394184168,0.04454487487834618,0.04532902070736074,0.047576695159683255,0.03646815145802789
24489,"Snell, Roy J. (Roy Judson)",0.012520193861066236,0.02644502365957066,0.020285106239232516,0.017259426293985,0.015522818776327118
2449,"Holmes, Oliver Wendell",1.0,0.12635217522624814,0.13396868560618855,0.1477057003513556,0.11028105533446594
24492,"Morley, John",0.012520193861066236,0.0232456680053248,0.027062290984021888,0.03062981802926215,0.025723971545377682
245,"Twain, Mark",0.009289176090468495,0.1752709943731612,0.15710823227375606,0.16194661492474696,0.1361989651454149
24501,"Dickens, Charles",0.01009693053311793,0.000525768236886557,0.002613755362632165,0.023338402643033197,0.033954711536223786
24503,"Reid, Mayne",0.01009693053311793,0.11243609678610182,0.1256376042968618,0.11650112748439875,0.0895606910408279
2453,"Galsworthy, John",0.009693053311793216,0.14434016086270735,0.14976522649731444,0.1286569825371021,0.10813997688255876
24544,"Optic, Oliver",0.0117124394184168,0.07242177799156534,0.06773384454278282,0.0616896533640988,0.0579875414058197
24553,"Morley, John",0.01211631663974152,0.02047140156388084,0.02606154781609972,0.026927473910535425,0.021790903519591644
24554,"Optic, Oliver",0.0117124394184168,0.08001745103084132,0.07235330878627166,0.06841050920341916,0.05368211191013677
24557,"Optic, Oliver",0.0117124394184168,0.05466871007797031,0.053499645306218965,0.051568514342650376,0.043349081120497734
24560,"Wells, Carolyn",0.012520193861066236,0.014274048303558443,0.0124987332364963,0.011868477633855996,0.012000899873552252
24578,"Baum, L. Frank (Lyman Frank)",0.0117124394184168,0.04976899757251687,0.050172279836503055,0.05380670197703078,0.04538155414368498
24582,"Optic, Oliver",0.0117124394184168,0.06713053594800487,0.061653379725027865,0.057846767004037965,0.04595561140977604
24584,"Crawford, F. Marion (Francis Marion)",0.0117124394184168,0.024084659872696968,0.020922710536094312,0.017232156903875397,0.012691320098986093
2459,"Harte, Bret",0.009693053311793216,0.08764668374481223,0.0986006485829139,0.09079658083800933,0.07740464055481859
24599,"Meade, L. T.",0.0117124394184168,0.0610897945029253,0.05664966388541703,0.05389270543814568,0.057591907344054234
2461,"Lytton, Edward Bulwer Lytton, Baron",0.009693053311793216,0.01770832168066851,0.019035232915582883,0.018824269757197545,0.01954121963896453
2462,"Howells, William Dean",0.009693053311793216,0.07878692962536216,0.08496605073810087,0.08534689810687503,0.07249412367055319
24631,"Optic, Oliver",0.0117124394184168,0.06517288825746982,0.068734587710705,0.06556610205044837,0.05257278503106892
24639,"Becke, Louis",0.01009693053311793,0.008188560625552338,0.007372563591527886,0.007134091981750484,0.006609416090670018
24640,"Becke, Louis",0.01009693053311793,0.013110646247469042,0.011459987163463164,0.010544863390843777,0.008797039726314319
24641,"Becke, Louis",0.01009693053311793,0.011074692649312585,0.009749856433469579,0.009382767843096123,0.007904923704686323
24642,"Becke, Louis",0.01050080775444265,0.012059109773695929,0.010433908725467013,0.010849021972835491,0.0092702490943083
24651,"Yonge, Charlotte M. (Charlotte Mary)",0.0117124394184168,0.0221605718568568,0.020124649528763982,0.01921233415491111,0.013870464753659616
24660,"Optic, Oliver",0.0117124394184168,0.05847213987672412,0.05990524608992333,0.055421888929676436,0.04171999968969878
24698,"Optic, Oliver",0.0117124394184168,0.054243620865168415,0.05969834138431916,0.054691908332896326,0.04710372594195816
2471,"Harte, Bret",0.009693053311793216,0.07359636660588638,0.08577255683545587,0.0874655199538518,0.07433265842816915
24753,"Arthur, T. S. (Timothy Shay)",0.026252019386106624,0.02534874095287103,0.024651217781981552,0.0239593056793749,0.019820490741387205
24758,"Altsheler, Joseph A. (Joseph Alexander)",0.02019386106623586,0.11412526707907775,0.1111416072695335,0.09744611673396612,0.07865360298509777
24772,"Burnett, Frances Hodgson",0.0117124394184168,0.024599241551351896,0.026276897611728543,0.024685090985368918,0.021170301069763475
24775,"Optic, Oliver",0.0117124394184168,0.08799346704999272,0.07839577069891565,0.07698358592479941,0.06109055365496055
2480,"Conrad, Joseph",0.009693053311793216,0.11732462273332366,0.1306793230415836,0.12795636897582466,0.11809288867167805
24805,"Becke, Louis",0.01009693053311793,0.02972268522143792,0.028413505387967438,0.02756096281923541,0.0232570768073107
24806,"Becke, Louis",0.01009693053311793,0.03956685646527133,0.03645323109144343,0.03466568776548325,0.027733171976696374
